Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;Rating
371-85-5789;B;Mandalay;Normal;Male;Health and beauty;8798;3;13197;277137;01/01/2019;10:40:00;Ewallet;51
273-16-6619;B;Mandalay;Normal;Male;Home and lifestyle;332;2;332;6972;01/01/2019;12:20:00;Credit card;44
636-48-8204;A;Yangon;Normal;Male;Electronic accessories;3456;5;864;18144;01/01/2019;11:15:00;Ewallet;99
549-59-1358;A;Yangon;Member;Male;Sports and travel;8863;3;132945;2791845;02/01/2019;17:36:00;Ewallet;6
227-03-5010;A;Yangon;Member;Female;Home and lifestyle;5259;8;21036;441756;02/01/2019;19:20:00;Credit card;85
649-29-6775;B;Mandalay;Normal;Male;Fashion accessories;3352;1;1676;35196;02/01/2019;15:31:00;Cash;67
189-17-4241;A;Yangon;Normal;Female;Fashion accessories;8767;2;8767;184107;02/01/2019;12:17:00;Credit card;77
145-94-9061;B;Mandalay;Normal;Female;Food and beverages;8836;5;2209;46389;02/01/2019;19:48:00;Cash;96
848-62-7243;A;Yangon;Normal;Male;Health and beauty;2489;9;112005;2352105;02/01/2019;15:36:00;Cash;74
871-79-8483;B;Mandalay;Normal;Male;Fashion accessories;9413;5;235325;4941825;02/01/2019;19:39:00;Credit card;48
149-71-6266;B;Mandalay;Member;Male;Sports and travel;7807;9;351315;7377615;02/01/2019;12:43:00;Cash;45
640-49-2076;B;Mandalay;Normal;Male;Sports and travel;8378;8;33512;703752;02/01/2019;14:49:00;Cash;51
595-11-5460;A;Yangon;Normal;Male;Health and beauty;9658;2;9658;202818;02/01/2019;10:12:00;Credit card;51
183-56-6882;C;Naypyitaw;Member;Female;Food and beverages;9942;4;19884;417564;02/01/2019;10:42:00;Ewallet;75
232-16-2483;C;Naypyitaw;Member;Female;Sports and travel;6812;1;3406;71526;02/01/2019;12:28:00;Ewallet;68
129-29-8530;A;Yangon;Member;Male;Sports and travel;6262;5;15655;328755;03/01/2019;19:15:00;Ewallet;7
272-65-1806;A;Yangon;Normal;Female;Electronic accessories;6088;9;27396;575316;03/01/2019;17:17:00;Ewallet;47
333-73-7901;C;Naypyitaw;Normal;Female;Health and beauty;5492;8;21968;461328;03/01/2019;13:24:00;Ewallet;76
777-82-7220;B;Mandalay;Member;Male;Home and lifestyle;3012;8;12048;253008;03/01/2019;13:01:00;Cash;77
280-35-5823;B;Mandalay;Member;Female;Home and lifestyle;8672;1;4336;91056;03/01/2019;18:45:00;Ewallet;79
554-53-8700;C;Naypyitaw;Member;Male;Home and lifestyle;5611;2;5611;117831;03/01/2019;10:11:00;Cash;63
354-25-5821;B;Mandalay;Member;Female;Sports and travel;6912;6;20736;435456;03/01/2019;13:03:00;Cash;56
228-96-1411;C;Naypyitaw;Member;Female;Food and beverages;987;8;3948;82908;03/01/2019;20:39:00;Cash;76
617-15-4209;C;Naypyitaw;Member;Male;Health and beauty;1537;2;1537;32277;03/01/2019;19:47:00;Cash;72
132-32-9879;B;Mandalay;Member;Female;Electronic accessories;9396;4;18792;394632;03/01/2019;18:00:00;Cash;95
370-41-7321;B;Mandalay;Member;Male;Health and beauty;5669;9;255105;5357205;03/01/2019;17:24:00;Credit card;84
727-46-3608;B;Mandalay;Member;Female;Food and beverages;2001;9;90045;1890945;03/01/2019;15:47:00;Ewallet;41
669-54-1719;B;Mandalay;Member;Male;Electronic accessories;1893;6;5679;119259;03/01/2019;12:45:00;Credit card;81
574-22-5561;C;Naypyitaw;Member;Female;Fashion accessories;8263;10;41315;867615;03/01/2019;17:08:00;Ewallet;79
326-78-5178;C;Naypyitaw;Member;Male;Food and beverages;914;7;3199;67179;03/01/2019;10:19:00;Cash;95
162-48-8011;A;Yangon;Member;Female;Food and beverages;4459;5;111475;2340975;03/01/2019;15:10:00;Cash;85
616-24-2851;B;Mandalay;Member;Female;Fashion accessories;1787;4;3574;75054;03/01/2019;14:42:00;Ewallet;65
778-71-5554;C;Naypyitaw;Member;Male;Fashion accessories;1543;1;7715;162015;03/01/2019;15:46:00;Credit card;61
242-55-6721;B;Mandalay;Normal;Male;Home and lifestyle;1616;2;1616;33936;03/01/2019;11:49:00;Ewallet;65
399-46-5918;C;Naypyitaw;Normal;Female;Electronic accessories;8598;8;34392;722232;03/01/2019;19:01:00;Cash;82
106-35-6779;A;Yangon;Member;Male;Home and lifestyle;4434;2;4434;93114;01/02/2019;11:26:00;Cash;58
635-40-6220;A;Yangon;Normal;Male;Health and beauty;896;8;3584;75264;01/02/2019;11:28:00;Ewallet;66
817-48-8732;A;Yangon;Member;Female;Home and lifestyle;7235;10;36175;759675;01/02/2019;15:55:00;Cash;54
120-06-4233;C;Naypyitaw;Normal;Male;Electronic accessories;3061;6;9183;192843;01/02/2019;20:36:00;Cash;93
285-68-5083;C;Naypyitaw;Member;Female;Sports and travel;2474;3;3711;77931;01/02/2019;17:47:00;Credit card;10
803-83-5989;C;Naypyitaw;Normal;Male;Home and lifestyle;5573;6;16719;351099;01/02/2019;10:55:00;Ewallet;7
347-34-2234;B;Mandalay;Member;Female;Sports and travel;5507;9;247815;5204115;01/02/2019;13:40:00;Ewallet;10
199-75-8169;A;Yangon;Member;Male;Sports and travel;1581;10;7905;166005;01/02/2019;12:27:00;Credit card;86
853-23-2453;B;Mandalay;Member;Male;Health and beauty;7574;4;15148;318108;01/02/2019;14:35:00;Cash;76
877-22-3308;A;Yangon;Member;Male;Health and beauty;1587;10;7935;166635;01/02/2019;16:40:00;Cash;58
838-78-4295;C;Naypyitaw;Normal;Female;Health and beauty;3347;2;3347;70287;01/02/2019;15:43:00;Ewallet;67
109-28-2512;B;Mandalay;Member;Female;Fashion accessories;9761;6;29283;614943;01/02/2019;15:01:00;Ewallet;99
232-11-3025;A;Yangon;Normal;Male;Sports and travel;7877;10;39385;827085;01/02/2019;10:04:00;Cash;64
382-03-4532;A;Yangon;Member;Female;Health and beauty;1833;1;9165;192465;01/02/2019;18:50:00;Cash;43
393-65-2792;C;Naypyitaw;Normal;Male;Food and beverages;8948;10;4474;93954;01/02/2019;12:46:00;Credit card;96
796-12-2025;C;Naypyitaw;Normal;Male;Fashion accessories;6212;10;3106;65226;01/02/2019;16:19:00;Cash;59
510-95-6347;B;Mandalay;Member;Female;Food and beverages;4852;3;7278;152838;02/02/2019;18:17:00;Ewallet;4
841-35-6630;C;Naypyitaw;Normal;Female;Electronic accessories;7591;6;22773;478233;02/02/2019;18:21:00;Cash;87
287-21-9091;A;Yangon;Normal;Male;Home and lifestyle;7467;9;336015;7056315;02/02/2019;10:55:00;Ewallet;94
732-94-0499;C;Naypyitaw;Normal;Female;Electronic accessories;4165;10;20825;437325;02/02/2019;17:04:00;Credit card;54
263-10-3913;C;Naypyitaw;Member;Male;Fashion accessories;4904;9;22068;463428;02/02/2019;14:20:00;Credit card;86
381-20-0914;A;Yangon;Member;Female;Fashion accessories;2001;9;90045;1890945;02/02/2019;15:48:00;Credit card;57
829-49-1914;C;Naypyitaw;Member;Female;Food and beverages;7831;10;39155;822255;02/02/2019;16:24:00;Ewallet;66
756-01-7507;C;Naypyitaw;Normal;Female;Health and beauty;2038;5;5095;106995;02/02/2019;18:56:00;Cash;6
870-72-4431;C;Naypyitaw;Normal;Female;Health and beauty;9919;6;29757;624897;02/02/2019;14:42:00;Credit card;55
847-38-7188;B;Mandalay;Normal;Female;Food and beverages;9668;3;14502;304542;02/02/2019;19:56:00;Ewallet;64
480-63-2856;C;Naypyitaw;Normal;Male;Food and beverages;1925;8;77;1617;02/02/2019;18:37:00;Ewallet;66
787-56-0757;C;Naypyitaw;Member;Female;Food and beverages;8036;4;16072;337512;02/02/2019;18:45:00;Credit card;83
360-39-5055;C;Naypyitaw;Member;Male;Sports and travel;4891;5;122275;2567775;02/02/2019;10:17:00;Cash;66
730-50-9884;C;Naypyitaw;Normal;Female;Sports and travel;8306;7;29071;610491;02/02/2019;14:31:00;Ewallet;4
362-58-8315;C;Naypyitaw;Normal;Male;Fashion accessories;7652;5;1913;40173;02/02/2019;10:23:00;Cash;99
633-44-8566;A;Yangon;Member;Male;Food and beverages;4938;7;17283;362943;02/02/2019;20:35:00;Credit card;73
504-35-8843;A;Yangon;Normal;Male;Sports and travel;4247;1;21235;445935;02/02/2019;16:57:00;Cash;57
318-68-5053;B;Mandalay;Normal;Female;Health and beauty;7699;6;23097;485037;02/02/2019;17:55:00;Cash;61
565-80-5980;C;Naypyitaw;Member;Female;Home and lifestyle;4738;4;9476;198996;02/02/2019;10:25:00;Cash;71
225-32-0908;C;Naypyitaw;Normal;Female;Sports and travel;4486;10;2243;47103;02/02/2019;19:54:00;Ewallet;82
873-51-0671;A;Yangon;Member;Female;Sports and travel;2198;7;7693;161553;02/02/2019;16:42:00;Ewallet;51
152-08-9985;B;Mandalay;Member;Male;Health and beauty;6436;9;28962;608202;02/02/2019;12:09:00;Credit card;86
512-91-0811;C;Naypyitaw;Normal;Male;Health and beauty;8975;1;44875;942375;02/02/2019;20:05:00;Credit card;66
594-34-4444;A;Yangon;Normal;Male;Electronic accessories;9716;1;4858;102018;02/02/2019;20:38:00;Ewallet;72
766-85-7061;B;Mandalay;Normal;Male;Health and beauty;8787;10;43935;922635;02/02/2019;10:25:00;Ewallet;51
871-39-9221;C;Naypyitaw;Normal;Female;Electronic accessories;1245;6;3735;78435;02/02/2019;13:11:00;Cash;41
865-92-6136;A;Yangon;Normal;Male;Food and beverages;5275;3;79125;1661625;02/02/2019;10:16:00;Ewallet;93
733-01-9107;B;Mandalay;Normal;Male;Home and lifestyle;827;6;2481;52101;02/02/2019;18:14:00;Cash;74
163-56-7055;C;Naypyitaw;Member;Male;Fashion accessories;4871;1;24355;511455;03/02/2019;19:20:00;Cash;41
189-98-2939;C;Naypyitaw;Normal;Male;Fashion accessories;7855;9;353475;7422975;03/02/2019;13:22:00;Cash;72
551-21-3069;C;Naypyitaw;Normal;Female;Electronic accessories;2307;9;103815;2180115;03/02/2019;11:27:00;Cash;49
212-62-1842;A;Yangon;Normal;Male;Food and beverages;5826;6;17478;367038;03/02/2019;16:44:00;Cash;99
716-39-1409;B;Mandalay;Normal;Male;Health and beauty;3035;7;106225;2230725;03/02/2019;18:19:00;Cash;8
704-48-3927;A;Yangon;Member;Male;Electronic accessories;8867;10;44335;931035;03/02/2019;14:50:00;Ewallet;73
628-34-3388;C;Naypyitaw;Normal;Male;Fashion accessories;2738;6;8214;172494;03/02/2019;20:54:00;Credit card;79
630-74-5166;A;Yangon;Normal;Male;Sports and travel;6213;6;18639;391419;03/02/2019;20:19:00;Cash;74
588-01-7461;C;Naypyitaw;Normal;Female;Food and beverages;3398;9;15291;321111;03/02/2019;10:43:00;Cash;42
861-77-0145;C;Naypyitaw;Member;Male;Electronic accessories;8197;10;40985;860685;03/02/2019;14:30:00;Cash;92
479-26-8945;B;Mandalay;Member;Female;Sports and travel;1649;2;1649;34629;03/02/2019;11:32:00;Ewallet;46
210-67-5886;C;Naypyitaw;Member;Female;Health and beauty;9821;3;147315;3093615;03/02/2019;10:41:00;Credit card;78
227-78-1148;B;Mandalay;Normal;Female;Fashion accessories;7284;7;25494;535374;03/02/2019;12:44:00;Cash;84
645-44-1170;A;Yangon;Member;Male;Home and lifestyle;5807;9;261315;5487615;03/02/2019;20:07:00;Ewallet;43
237-01-6122;C;Naypyitaw;Member;Female;Home and lifestyle;8079;9;363555;7634655;03/02/2019;20:31:00;Credit card;95
225-98-1496;C;Naypyitaw;Normal;Female;Fashion accessories;2702;3;4053;85113;03/02/2019;13:01:00;Credit card;71
291-32-1427;B;Mandalay;Member;Male;Fashion accessories;2194;5;5485;115185;03/02/2019;12:29:00;Ewallet;53
659-65-8956;B;Mandalay;Member;Male;Fashion accessories;5136;1;2568;53928;03/02/2019;15:26:00;Ewallet;52
642-32-2990;A;Yangon;Normal;Female;Food and beverages;1096;10;548;11508;03/02/2019;20:48:00;Ewallet;6
378-24-2715;B;Mandalay;Normal;Male;Home and lifestyle;5344;2;5344;112224;03/02/2019;20:38:00;Ewallet;41
638-60-7125;A;Yangon;Normal;Female;Electronic accessories;9956;8;39824;836304;03/02/2019;17:03:00;Credit card;52
659-36-1684;C;Naypyitaw;Member;Male;Sports and travel;5712;7;19992;419832;03/02/2019;12:02:00;Credit card;65
219-22-9386;B;Mandalay;Member;Male;Sports and travel;9996;9;44982;944622;03/02/2019;17:26:00;Credit card;42
336-78-2147;C;Naypyitaw;Member;Male;Home and lifestyle;6391;8;25564;536844;03/02/2019;19:52:00;Credit card;46
268-27-6179;B;Mandalay;Member;Female;Fashion accessories;5647;8;22588;474348;03/02/2019;14:57:00;Ewallet;73
668-90-8900;A;Yangon;Normal;Female;Home and lifestyle;9369;7;327915;6886215;03/02/2019;18:44:00;Credit card;45
870-54-3162;A;Yangon;Normal;Female;Sports and travel;3225;5;80625;1693125;03/02/2019;13:26:00;Cash;9
189-08-9157;C;Naypyitaw;Normal;Female;Fashion accessories;3173;9;142785;2998485;03/02/2019;16:17:00;Credit card;59
663-86-9076;C;Naypyitaw;Member;Female;Food and beverages;6854;8;27416;575736;03/02/2019;15:57:00;Ewallet;85
549-84-7482;B;Mandalay;Normal;Female;Sports and travel;9028;9;40626;853146;03/02/2019;11:15:00;Ewallet;72
191-10-6171;B;Mandalay;Normal;Female;Fashion accessories;3962;7;13867;291207;03/02/2019;13:18:00;Cash;75
802-70-5316;A;Yangon;Member;Female;Sports and travel;9213;6;27639;580419;03/02/2019;20:34:00;Cash;83
695-51-0018;B;Mandalay;Normal;Female;Sports and travel;3484;4;6968;146328;03/02/2019;18:36:00;Cash;74
590-83-4591;B;Mandalay;Member;Male;Electronic accessories;8745;6;26235;550935;03/02/2019;14:40:00;Credit card;88
483-71-1164;C;Naypyitaw;Normal;Female;Health and beauty;813;6;2439;51219;03/02/2019;16:43:00;Ewallet;53
597-78-7908;C;Naypyitaw;Normal;Male;Fashion accessories;9022;3;13533;284193;03/02/2019;19:39:00;Cash;62
700-81-1757;A;Yangon;Normal;Female;Electronic accessories;2631;5;65775;1381275;01/03/2019;20:59:00;Credit card;88
354-39-5160;A;Yangon;Member;Female;Home and lifestyle;3442;6;10326;216846;01/03/2019;15:39:00;Cash;98
241-72-9525;B;Mandalay;Normal;Male;Sports and travel;5191;10;25955;545055;01/03/2019;12:21:00;Cash;82
575-30-8091;A;Yangon;Normal;Male;Sports and travel;725;8;29;609;01/03/2019;19:25:00;Ewallet;92
731-81-9469;C;Naypyitaw;Member;Female;Sports and travel;898;10;449;9429;01/03/2019;13:00:00;Credit card;54
280-17-4359;C;Naypyitaw;Member;Male;Health and beauty;905;10;4525;95025;01/03/2019;13:48:00;Cash;81
338-65-2210;C;Naypyitaw;Member;Female;Health and beauty;686;10;343;7203;01/03/2019;19:57:00;Cash;91
488-25-4221;C;Naypyitaw;Member;Female;Food and beverages;3041;1;15205;319305;01/03/2019;10:36:00;Credit card;84
239-10-7476;A;Yangon;Normal;Female;Home and lifestyle;7795;6;23385;491085;01/03/2019;16:37:00;Ewallet;8
458-41-1477;C;Naypyitaw;Normal;Female;Health and beauty;4626;6;13878;291438;01/03/2019;17:11:00;Credit card;95
685-64-1609;A;Yangon;Member;Female;Fashion accessories;3014;10;1507;31647;01/03/2019;12:28:00;Ewallet;92
568-90-5112;C;Naypyitaw;Normal;Male;Health and beauty;6614;4;13228;277788;01/03/2019;12:46:00;Credit card;56
262-47-2794;B;Mandalay;Member;Male;Home and lifestyle;7186;8;28744;603624;01/03/2019;15:07:00;Credit card;62
238-49-0436;A;Yangon;Normal;Male;Health and beauty;3246;8;12984;272664;01/03/2019;13:48:00;Credit card;49
608-96-3517;B;Mandalay;Member;Female;Fashion accessories;9154;4;18308;384468;01/03/2019;19:20:00;Credit card;48
584-86-7256;C;Naypyitaw;Member;Male;Sports and travel;3456;7;12096;254016;01/03/2019;16:07:00;Credit card;73
746-94-0204;A;Yangon;Normal;Male;Fashion accessories;8324;9;37458;786618;02/03/2019;11:56:00;Credit card;74
214-17-6927;C;Naypyitaw;Normal;Female;Food and beverages;1648;6;4944;103824;02/03/2019;18:23:00;Ewallet;99
400-89-4171;C;Naypyitaw;Normal;Female;Sports and travel;8097;8;32388;680148;02/03/2019;13:05:00;Cash;93
782-95-9291;A;Yangon;Member;Male;Food and beverages;9229;5;230725;4845225;02/03/2019;15:55:00;Credit card;9
279-74-2924;B;Mandalay;Member;Male;Electronic accessories;7217;1;36085;757785;02/03/2019;19:40:00;Cash;61
307-85-2293;B;Mandalay;Normal;Male;Home and lifestyle;5028;5;1257;26397;02/03/2019;13:58:00;Ewallet;97
743-04-1105;B;Mandalay;Member;Male;Health and beauty;9722;9;43749;918729;02/03/2019;14:43:00;Ewallet;6
423-57-2993;B;Mandalay;Normal;Male;Sports and travel;9339;6;28017;588357;02/03/2019;19:18:00;Ewallet;10
894-41-5205;C;Naypyitaw;Normal;Female;Food and beverages;4318;8;17272;362712;02/03/2019;19:39:00;Credit card;83
275-28-0149;A;Yangon;Normal;Male;Sports and travel;6369;1;31845;668745;02/03/2019;16:21:00;Cash;6
101-17-6199;A;Yangon;Normal;Male;Food and beverages;4579;7;160265;3365565;02/03/2019;19:44:00;Credit card;7
423-80-0988;C;Naypyitaw;Normal;Male;Sports and travel;764;2;764;16044;02/03/2019;19:42:00;Ewallet;65
548-46-9322;B;Mandalay;Normal;Male;Food and beverages;399;10;1995;41895;02/03/2019;15:24:00;Credit card;59
505-02-0892;B;Mandalay;Member;Male;Health and beauty;4257;8;17028;357588;02/03/2019;14:12:00;Ewallet;56
234-65-2137;C;Naypyitaw;Normal;Male;Home and lifestyle;9558;10;4779;100359;02/03/2019;13:32:00;Cash;48
687-47-8271;A;Yangon;Normal;Male;Fashion accessories;9898;10;4949;103929;02/03/2019;16:20:00;Credit card;87
796-32-9050;A;Yangon;Normal;Male;Food and beverages;5128;6;15384;323064;02/03/2019;16:31:00;Cash;65
105-31-1824;A;Yangon;Member;Male;Sports and travel;6952;7;24332;510972;02/03/2019;15:10:00;Credit card;85
249-42-3782;A;Yangon;Normal;Male;Health and beauty;7001;5;175025;3675525;02/03/2019;11:36:00;Ewallet;55
316-55-4634;B;Mandalay;Member;Male;Food and beverages;8005;5;200125;4202625;02/03/2019;12:45:00;Credit card;94
733-33-4967;C;Naypyitaw;Normal;Male;Electronic accessories;2085;8;834;17514;02/03/2019;19:17:00;Cash;63
608-27-6295;B;Mandalay;Member;Male;Electronic accessories;5289;6;15867;333207;02/03/2019;17:34:00;Credit card;98
414-12-7047;B;Mandalay;Normal;Male;Food and beverages;1979;8;7916;166236;02/03/2019;12:04:00;Ewallet;87
827-26-2100;A;Yangon;Member;Male;Home and lifestyle;3384;9;15228;319788;02/03/2019;16:21:00;Ewallet;88
175-54-2529;A;Yangon;Member;Male;Food and beverages;2217;8;8868;186228;02/03/2019;17:01:00;Credit card;96
139-52-2867;C;Naypyitaw;Normal;Female;Fashion accessories;2251;7;78785;1654485;02/03/2019;10:50:00;Credit card;48
407-63-8975;A;Yangon;Normal;Male;Food and beverages;7388;6;22164;465444;02/03/2019;19:16:00;Ewallet;44
342-65-4817;C;Naypyitaw;Member;Male;Health and beauty;868;3;1302;27342;02/03/2019;16:47:00;Ewallet;99
130-98-8941;C;Naypyitaw;Normal;Male;Fashion accessories;6426;7;22491;472311;03/03/2019;10:00:00;Cash;57
434-83-9547;C;Naypyitaw;Member;Male;Food and beverages;3847;8;15388;323148;03/03/2019;11:51:00;Cash;77
851-28-6367;A;Yangon;Member;Male;Sports and travel;155;10;775;16275;03/03/2019;10:55:00;Ewallet;8
824-88-3614;C;Naypyitaw;Normal;Male;Health and beauty;3431;8;13724;288204;03/03/2019;15:00:00;Ewallet;57
586-25-0848;A;Yangon;Normal;Female;Sports and travel;1234;7;4319;90699;03/03/2019;11:19:00;Credit card;67
895-66-0685;B;Mandalay;Member;Male;Food and beverages;1808;3;2712;56952;03/03/2019;19:46:00;Ewallet;8
305-14-0245;B;Mandalay;Member;Female;Home and lifestyle;9449;8;37796;793716;03/03/2019;19:00:00;Ewallet;75
732-04-5373;B;Mandalay;Member;Male;Home and lifestyle;4647;4;9294;195174;03/03/2019;10:53:00;Cash;7
400-60-7251;A;Yangon;Normal;Male;Home and lifestyle;7407;1;37035;777735;03/03/2019;12:50:00;Ewallet;99
593-65-1552;C;Naypyitaw;Normal;Female;Home and lifestyle;6981;4;13962;293202;03/03/2019;20:50:00;Credit card;59
284-34-9626;B;Mandalay;Normal;Female;Home and lifestyle;7704;3;11556;242676;03/03/2019;10:39:00;Credit card;72
437-58-8131;B;Mandalay;Normal;Female;Fashion accessories;7352;2;7352;154392;03/03/2019;13:41:00;Ewallet;46
286-43-6208;C;Naypyitaw;Normal;Female;Food and beverages;878;9;3951;82971;03/03/2019;19:08:00;Cash;92
641-43-2399;B;Mandalay;Normal;Male;Home and lifestyle;2555;4;511;10731;03/03/2019;20:23:00;Ewallet;57
831-07-6050;A;Yangon;Normal;Male;Electronic accessories;3271;5;81775;1717275;03/03/2019;11:30:00;Credit card;99
556-86-3144;C;Naypyitaw;Member;Female;Fashion accessories;7429;1;37145;780045;03/03/2019;19:30:00;Cash;5
848-24-9445;C;Naypyitaw;Member;Male;Health and beauty;437;2;437;9177;03/03/2019;18:03:00;Cash;49
856-22-8149;A;Yangon;Normal;Female;Home and lifestyle;2529;1;12645;265545;03/03/2019;10:13:00;Ewallet;61
699-01-4164;C;Naypyitaw;Normal;Male;Health and beauty;415;4;83;1743;03/03/2019;19:58:00;Credit card;82
420-11-4919;C;Naypyitaw;Member;Female;Food and beverages;7139;5;178475;3747975;03/03/2019;19:57:00;Credit card;55
606-80-4905;C;Naypyitaw;Member;Female;Sports and travel;1915;6;5745;120645;03/03/2019;10:01:00;Credit card;68
542-41-0513;B;Mandalay;Member;Female;Electronic accessories;5749;4;11498;241458;03/03/2019;11:57:00;Cash;66
426-39-2418;C;Naypyitaw;Normal;Male;Electronic accessories;6141;7;214935;4513635;03/03/2019;10:02:00;Cash;98
875-46-5808;B;Mandalay;Member;Male;Health and beauty;259;10;1295;27195;03/03/2019;14:51:00;Ewallet;87
394-43-4238;B;Mandalay;Member;Male;Home and lifestyle;1777;5;44425;932925;03/03/2019;12:42:00;Credit card;54
749-24-1565;A;Yangon;Normal;Female;Health and beauty;2303;9;103635;2176335;03/03/2019;12:02:00;Ewallet;79
672-51-8681;C;Naypyitaw;Member;Female;Electronic accessories;6665;9;299925;6298425;03/03/2019;18:19:00;Credit card;97
263-87-5680;C;Naypyitaw;Member;Female;Home and lifestyle;2853;10;14265;299565;03/03/2019;17:38:00;Ewallet;78
573-58-9734;B;Mandalay;Normal;Female;Fashion accessories;3037;3;45555;956655;01/04/2019;13:41:00;Ewallet;51
817-69-8206;B;Mandalay;Normal;Female;Electronic accessories;9973;9;448785;9424485;01/04/2019;19:42:00;Credit card;65
888-02-0338;A;Yangon;Normal;Male;Electronic accessories;2623;9;118035;2478735;01/04/2019;20:24:00;Ewallet;59
677-11-0152;C;Naypyitaw;Normal;Female;Food and beverages;9326;9;41967;881307;01/04/2019;18:08:00;Cash;88
142-63-6033;B;Mandalay;Normal;Male;Home and lifestyle;9236;5;2309;48489;01/04/2019;19:17:00;Ewallet;49
656-16-1063;B;Mandalay;Normal;Male;Sports and travel;4642;3;6963;146223;01/04/2019;13:24:00;Credit card;44
891-58-8335;B;Mandalay;Member;Female;Sports and travel;2961;7;103635;2176335;01/04/2019;15:53:00;Cash;65
802-43-8934;A;Yangon;Normal;Male;Home and lifestyle;1828;1;914;19194;01/04/2019;15:05:00;Credit card;83
560-30-5617;B;Mandalay;Normal;Female;Sports and travel;2477;5;61925;1300425;01/04/2019;18:27:00;Cash;85
319-74-2561;A;Yangon;Member;Female;Electronic accessories;9464;3;14196;298116;01/04/2019;16:55:00;Cash;55
549-03-9315;B;Mandalay;Normal;Male;Fashion accessories;9487;8;37948;796908;01/04/2019;12:58:00;Ewallet;87
790-29-1172;B;Mandalay;Normal;Female;Food and beverages;5734;3;8601;180621;01/04/2019;18:59:00;Credit card;79
239-36-3640;B;Mandalay;Normal;Male;Electronic accessories;4535;6;13605;285705;02/04/2019;13:44:00;Ewallet;61
468-01-2051;B;Mandalay;Normal;Male;Food and beverages;6208;7;21728;456288;02/04/2019;13:46:00;Ewallet;54
389-25-3394;C;Naypyitaw;Normal;Male;Electronic accessories;1181;5;29525;620025;02/04/2019;18:06:00;Cash;94
279-62-1445;C;Naypyitaw;Member;Female;Fashion accessories;1254;1;627;13167;02/04/2019;12:38:00;Cash;82
213-72-6612;A;Yangon;Normal;Male;Food and beverages;4325;2;4325;90825;02/04/2019;15:56:00;Cash;62
746-68-6593;C;Naypyitaw;Member;Female;Sports and travel;8716;2;8716;183036;02/04/2019;14:29:00;Credit card;97
836-82-5858;B;Mandalay;Member;Male;Health and beauty;6937;9;312165;6555465;02/04/2019;19:14:00;Ewallet;4
583-72-1480;C;Naypyitaw;Member;Male;Electronic accessories;3706;4;7412;155652;02/04/2019;16:24:00;Ewallet;97
